Media;Variancia;Skewness;Kurtosis;Energia;Entropia;Pesovivo
2.461.923.477.307.090;2.168.376.590.172.380;-5.097.830.143.192.540;23.987.872.168.842.400;1820760758098.0;0.21667114175083588;45.2
2.474.444.025.213.060;18.695.903.038.067.200;-5.548.003.898.685.100;28.780.347.259.825.100;1838689051426.0;0.1925318823347128;38.5
23.988.917.017.961.800;36.249.244.263.366.900;-37.334.039.442.042.000;119.383.050.105.995;108335152928.0;0.32449301029811506;41.2
25.025.303.636.478.100;11.879.420.632.265.300;-7.123.027.301.791.570;4.873.751.794.206.820;1879590492226.0;0.13359502796934836;45
25.081.498.221.568;10.496.651.611.465.200;-7.612.379.811.019.730;55.948.326.387.220.800;1887887622898.0;0.12078963738713833;40.75
2.519.991.215.233.220;756.218.739.920.865;-9.054.668.707.537.800;7.998.702.540.326.430;1905495504370.0;0.0922992685838584;34.6
2.513.363.978.590.080;920.796.565.305.372;-8.161.997.570.161.650;6.461.820.433.532.470;1895620220050.0;0.1085198032523004;37.6
24.891.334.869.295.200;15.150.487.591.634.700;-62.385.423.577.516.800;3.691.941.074.946.190;1859962868530.0;0.16264589945814092;40.4
25.173.074.582.455.000;8.229.717.918.758.150;-8.660.971.577.504.600;7.301.242.866.634.250;1901490071890.0;0.0989596705779048;34.9
25.049.074.914.658.100;11.292.558.095.944.500;-7.319.393.999.201.820;5.157.608.613.224.740;1882963412734.0;0.12896090753234016;40.2
25.219.355.697.855.500;7.077.668.480.356.780;-9.374.085.302.362.430;8.587.347.525.596.740;1908402798880.0;0.08738864633960378;39.1
24.820.187.923.845.300;16.873.063.483.058.800;-5.876.883.169.980.320;32.537.755.793.598.000;1849626769696.0;0.17735120493971768;36
25.131.229.881.666.900;9.267.646.617.316.850;-8.134.091.437.909.780;6.416.344.352.027.720;1895262111970.0;0.1090958562862018;43.1
2.509.157.600.290.960;10.248.001.764.404.800;-7.710.473.022.309.100;5.745.139.422.775.650;1889379614866.0;0.11844880693613342;36.6
2.496.910.905.138.830;13.255.873.990.278.500;-67.122.071.779.427.600;43.053.725.199.626.400;1871331257890.0;0.14601603201615132;29.8
24.471.135.203.789.400;2.517.748.953.448.860;-4.671.899.148.719.310;19.826.641.655.804.200;1799797111186.0;0.24388383721108853;36.6
24.330.758.282.166.400;2.844.853.761.003.380;-4.342.471.925.430.770;16.857.062.423.154.400;111260600050.0;0.2685108145218406;39.1
2.383.300.351.677.050;39.729.533.047.252.100;-35.166.628.725.690.800;10.366.917.759.305.800;107029963378.0;0.3484121073533585;45.3
24.291.250.458.211.100;2.936.203.786.084.100;-4.259.805.444.713.400;16.145.942.426.809.900;110918016128.0;0.2752563655042439;37.9
23.978.985.291.422.200;36.472.389.325.021.900;-3.718.676.515.334.790;11.828.555.025.702.500;108251468320.0;0.326044573353314;39.8
24.594.679.309.475.800;22.266.072.055.675.700;-5.020.321.121.948.350;23.203.624.167.480.700;113579168978.0;0.2212781687535528;41.4
24.643.005.192.105.000;2.111.892.750.056.290;-5.175.897.586.150.570;24.789.915.822.319.300;1824149999506.0;0.21217319457052403;32.2
2.497.967.976.768.690;12.997.432.779.828.400;-6.784.475.693.939.290;44.029.110.441.653.000;1872882001696.0;0.14370691103694447;30.7
2.448.920.948.554.340;2.475.346.065.452.690;-4.719.009.876.798.020;20.269.054.217.317.300;1802341442866.0;0.24063384369784788;42.2
24.335.578.090.634.100;28.336.880.305.817.600;-4.352.829.805.070.680;1.694.712.731.191.160;111302474146.0;0.267682515001329;32.75
245.685.172.430.581;22.885.150.175.538.300;-4.941.014.239.600.020;2.241.362.171.593.010;1813552003666.0;0.2261436547224822;38.3
2.403.507.033.541.050;35.209.687.524.836.600;-3.803.673.058.410.170;1.246.792.873.527.540;108725010976.0;0.3172309030020731;42.2
2.460.899.268.007.690;2.192.679.261.388.060;-50.651.258.695.862.200;23.655.500.074.751.600;1819302507040.0;0.21859755031431877;39.2
24.242.760.263.929.600;304.789.615.158.404;-41.634.586.945.618.100;15.334.388.301.322.300;110499143680.0;0.2834309573029693;29
24.977.598.486.757.600;13.048.335.246.640.800;-6.770.077.059.300.170;438.339.433.888.625;1872576567880.0;0.14416252952681147;38.6
24.815.441.142.778.500;16.987.630.030.145.600;-5.854.729.088.442.730;32.277.852.699.057.500;115558707976.0;0.17831639700194843;32
24.692.736.852.203.900;199.335.364.790.086;-5.349.850.933.460.230;26.620.905.010.245.300;1831262788450.0;0.20263661874485783;40.4
24.734.015.590.634.100;18.945.870.323.437.200;-5.506.492.864.780.100;2.832.146.366.987.410;114824322146.0;0.19458541949631147;34
2.408.867.244.776.390;3.399.700.712.231.910;-38.893.037.477.033.600;13.126.683.641.899.400;109179794440.0;0.3086870048833041;30.35
24.381.147.188.874.600;2.727.891.507.073.370;-44.538.850.119.143.300;17.837.091.699.355.100;111699235810.0;0.25979220531187613;30.5
2.414.322.391.633.060;3.275.694.879.235.130;-39.813.000.341.788.400;13.850.749.962.152.400;109644845266.0;0.29986654421785236;37
23.733.978.360.978.700;4.191.471.936.555.080;-3.393.175.971.650.220;9.513.643.174.584.440;106210467490.0;0.3631401000561567;42.8
23.827.380.406.891.400;3.985.414.332.101.640;-3.509.379.433.161.380;10.315.744.005.896.100;106983231616.0;0.34925778715452405;28.7
240.634.049.670.088;3.456.936.805.246.060;-38.483.769.835.453.200;12.810.005.407.481.400;108965145728.0;0.312729440199326;33.4
23.711.705.003.665.600;424.035.234.126.106;-33.667.210.446.970.500;9.334.810.592.806.030;106027154560.0;0.3664056730604154;44.25
2.400.023.626.512.090;35.994.683.978.957.000;-3.750.355.667.619.640;12.065.167.633.646.800;108430618978.0;0.32271989658338374;42.4
24.486.197.105.251.000;2.482.417.750.669.570;-4.711.074.328.875.690;20.194.221.332.191.600;1801917115336.0;0.24117682275169783;32.85
24.056.248.281.708.200;34.731.249.792.370.100;-383.696.915.619.024;1.272.233.230.555.520;108904436296.0;0.31386954600392625;34.8
