second_name,Rebanho,Data da coleta,Animal,AOL,POL,COL,EGS,ECC,PESOVIVO,PESOABATE,RC,FAMACHA,CC,AG,AC,AP,CT,CP,Profund
55,Ricardo,15/12/2021,LARANJA,"8,38","2,21","4,87","2,98","2,5",38.0,,0,,70.0,69.0,64.0,35.0,79.0,46.0,29.0
52,Ricardo,15/12/2021,BRANCO,"6,13","2,11","3,73","1,33",2,25.2,"10,6","42,06",,59.0,56.0,55.0,33.0,67.0,27.0,22.0
2,Ricardo,15/12/2021,AMARELO,"7,98","2,51","4,45","4,9","2,5",45.2,"19,6","43,36",,79.0,71.0,74.0,40.0,85.0,35.0,34.0
57,Ricardo,15/12/2021,ROXO,"8,95","2,48","4,62","2,89","2,5",41.95,"18,9","45,05",,68.0,68.0,65.0,35.0,81.0,49.0,30.0
58,Ricardo,15/12/2021,ROXO+AMARELO,"8,72","2,33","4,52","2,92","3,5",41.9,"19,3","46,06",,65.0,72.0,72.0,34.0,88.0,43.0,38.0
50,Ricardo,15/12/2021,AZUL,"9,31","2,49","4,38","2,65","2,5",45.25,21,"46,41",,66.0,70.0,68.0,31.0,88.0,44.0,37.0
61,Ricardo,15/12/2021,VERMELHO,"7,88","2,23","4,26","1,7",2,34.95,"15,2","43,49",,58.0,70.0,67.0,35.0,74.0,37.0,32.0
62,Ricardo,15/12/2021,VERMELHO+AZUL,"10,02","2,47","4,93","2,11","2,5",42.2,"19,6","46,45",,64.0,62.0,61.0,28.0,81.0,42.0,33.0
54,Ricardo,15/12/2021,ANIMAL GRANDE SEM COR,"13,33","2,97","5,26","3,89",4,74.6,"35,1","47,05",,79.0,89.0,87.0,42.0,104.0,53.0,45.0
63,Ricardo,02/02/2022,VERMELHO,,,,,"3,5",39.75,,,,77.0,69.0,70.0,36.0,85.0,41.0,34.0
53,Ricardo,02/02/2022,BRANCO,,,,,4,46.6,,,,70.0,67.0,64.0,30.0,92.0,44.0,34.0
1,Ricardo,02/02/2022,AMARELO,,,,,"2,5",38.5,,,,65.0,57.0,56.0,32.0,77.0,42.0,24.0
60,Ricardo,02/02/2022,VERDE,,,,,2,39.8,,,,73.0,69.0,66.0,36.0,80.0,41.0,30.0
51,Ricardo,02/02/2022,AZUL,,,,,"3,5",46.75,,,,70.0,67.0,66.0,33.0,85.0,40.0,33.0
56,Ricardo,02/02/2022,PRETO,,,,,"3,5",47.55,,,,76.0,66.0,64.0,35.0,83.0,45.0,29.0
59,Ricardo,02/02/2022,ROXO,,,,,3,48.5,,,,74.0,67.0,69.0,35.0,87.0,43.0,34.0
3,Ricardo,12/03/2022,Animal 1,"8,5","2,18","4,33","1,99","2,5",41.2,,,2.0,64.0,71.0,72.0,44.0,80.0,41.0,28.0
4,Ricardo,12/03/2022,Animal 2,"8,3","2,22","4,12","2,83","3,5",45.0,,,2.0,70.0,69.0,72.0,37.0,92.0,43.0,35.0
5,Ricardo,12/03/2022,Animal 3,"8,2","1,99","4,97","3,01","2,5",40.75,,,1.0,68.0,71.0,73.0,40.0,81.0,43.0,33.0
6,Ricardo,12/03/2022,Animal 4,"6,7","1,97","4,19","2,47","2,5",34.6,,,3.0,66.0,62.0,64.0,34.0,73.0,38.0,30.0
7,Ricardo,12/03/2022,Animal 5,"9,75","2,36","4,65","3,3","3,5",37.6,,,3.0,62.0,73.0,73.0,39.0,81.0,42.0,34.0
8,Ricardo,12/03/2022,Animal 6,"8,64","2,06","4,78","1,17",2,40.4,,,4.0,68.0,71.0,68.0,31.0,81.0,44.0,37.0
9,Ricardo,12/03/2022,Animal 7,"8,06","1,84","4,49","3,6","2,5",34.9,,,3.0,58.0,69.0,66.0,35.0,74.0,31.0,31.0
10,Ricardo,12/03/2022,Animal 8,"9,5","2,06","5,08","2,4","2,5",40.2,,,2.0,65.0,78.0,77.0,39.0,82.0,35.0,38.0
11,Ricardo,12/03/2022,Animal 9,"8,39","1,84","4,82",4,"2,5",39.1,,,3.0,79.0,71.0,70.0,41.0,84.0,45.0,29.0
12,Ricardo,12/03/2022,Animal 10,"10,99","2,1","5,38","2,43","2,5",36.0,,,3.0,67.0,69.0,70.0,35.0,82.0,37.0,35.0
13,Ricardo,12/03/2022,Animal 11,"9,4","2,18","4,09","3,3",3,43.1,,,4.0,65.0,73.0,70.0,34.0,85.0,36.0,36.0
14,Ricardo,12/03/2022,Animal 12,"11,6","2,57","4,75","1,85","2,5",36.6,,,2.0,60.0,79.0,77.0,41.0,80.0,43.0,36.0
15,Ricardo,12/03/2022,Animal 13,"10,9","2,42","5,52",3,2,29.8,,,3.0,65.0,72.0,68.0,39.0,75.0,37.0,29.0
16,Ricardo,19/03/2022,Animal 14,"8,01","2,08","4,54","1,93","2,5",36.6,,,2.0,61.0,63.0,63.0,33.0,81.0,37.0,30.0
17,Ricardo,19/03/2022,Animal 15,"7,5","2,2","3,77","2,23","2,5",39.1,,,3.0,69.0,71.0,73.0,44.0,80.0,29.0,29.0
18,Ricardo,19/03/2022,Animal 16,"9,97","2,32","4,85","2,04","2,5",45.3,,,3.0,75.0,72.0,74.0,41.0,82.0,33.0,33.0
19,Ricardo,19/03/2022,Animal 17,"7,74","2,11","4,75","1,75",2,37.9,,,3.0,62.0,67.0,62.0,35.0,83.0,31.0,27.0
20,Ricardo,19/03/2022,Animal 18,"8,88","2,16","4,06","1,48",2,39.8,,,2.0,65.0,75.0,72.0,43.0,82.0,33.0,29.0
21,Ricardo,19/03/2022,Animal 19,"8,04","2,07","4,14","1,86",2,41.4,,,2.0,65.0,63.0,65.0,29.0,87.0,35.0,36.0
22,Ricardo,19/03/2022,Animal 20,"7,75","2,07","4,15","2,43",2,32.2,,,2.0,62.0,64.0,60.0,29.0,82.0,37.0,31.0
23,Ricardo,19/03/2022,Animal 21,"9,71","2,27","4,82","2,04","3,5",30.7,,,3.0,58.0,61.0,59.0,34.0,78.0,27.0,25.0
24,Ricardo,19/03/2022,Animal 22,"8,61","1,95","4,39","1,86",2,42.2,,,3.0,68.0,70.0,69.0,36.0,82.0,34.0,33.0
