Rebanho,Data da coleta,Animal,AOL,POL,COL,EGS,ECC,PESOVIVO,PESOABATE,RC,FAMACHA,CC,AG,AC,AP,CT,CP,Profund
Ricardo,23/02/2022,amarelo,"10,26","2,53","5,19","4,68",,"47,1","21,6","45,86",1,70,70,73,,89,43,
Ricardo,23/02/2022,vermelho,"8,71","2,07","5,13","3,71",,"37,35","17,4","46,59",1,67,70,67,,79,41,
Ricardo,23/02/2022,azul,"10,01","2,4","5,19","2,82",,"37,3","16,3","43,70",2,72,63,61,,76,41,
Ricardo,23/02/2022,branco,"9,55","2,42","5,6","2,63",,"33,55","17,3","51,56",2,67,67,68,,76,32,
Ricardo,23/02/2022,rosa,"9,83","2,56","5,2","3,14",,35,15,"42,86",2,57,62,64,,78,29,
Ricardo,23/02/2022,verde,"9,97","2,81","5,04","3,52",,"35,7","16,8","47,06",3,65,65,63,,79,33,
Ricardo,23/02/2022,preto,"11,01","2,57","4,88","3,23",,"49,9","22,8","45,69",1,72,70,69,,87,38,
Ricardo,23/02/2022,sem fita,"7,67","1,95","4,45","3,03",,"39,05","18,6","47,63",2,64,68,67,,83,38,
Ricardo,23/02/2022,baia 5,"8,89","2,27","4,49","3,03",,"35,5","16,8","47,32",2,70,70,69,,80,47,
Ricardo,15/12/2021,LARANJA,"8,38","2,21","4,87","2,98","2,5",38,,"0,00",,70,69,64,35,79,46,29
Ricardo,15/12/2021,BRANCO,"6,13","2,11","3,73","1,33",2,"25,2","10,6","42,06",,59,56,55,33,67,27,22
Ricardo,15/12/2021,AMARELO,"7,98","2,51","4,45","4,9","2,5","45,2","19,6","43,36",,79,71,74,40,85,35,34
Ricardo,15/12/2021,ROXO,"8,95","2,48","4,62","2,89","2,5","41,95","18,9","45,05",,68,68,65,35,81,49,30
Ricardo,15/12/2021,ROXO+AMARELO,"8,72","2,33","4,52","2,92","3,5","41,9","19,3","46,06",,65,72,72,34,88,43,38
Ricardo,15/12/2021,AZUL,"9,31","2,49","4,38","2,65","2,5","45,25",21,"46,41",,66,70,68,31,88,44,37
Ricardo,15/12/2021,VERMELHO,"7,88","2,23","4,26","1,7",2,"34,95","15,2","43,49",,58,70,67,35,74,37,32
Ricardo,15/12/2021,VERMELHO+AZUL,"10,02","2,47","4,93","2,11","2,5","42,2","19,6","46,45",,64,62,61,28,81,42,33
Ricardo,15/12/2021,ANIMAL GRANDE SEM COR,"13,33","2,97","5,26","3,89",4,"74,6","35,1","47,05",,79,89,87,42,104,53,45
Ricardo,02/02/2022,VERMELHO,,,,,"3,5","39,75",,,,77,69,70,36,85,41,34
Ricardo,02/02/2022,BRANCO,,,,,4,"46,6",,,,70,67,64,30,92,44,34
Ricardo,02/02/2022,AMARELO,,,,,"2,5","38,5",,,,65,57,56,32,77,42,24
Ricardo,02/02/2022,VERDE,,,,,2,"39,8",,,,73,69,66,36,80,41,30
Ricardo,02/02/2022,AZUL,,,,,"3,5","46,75",,,,70,67,66,33,85,40,33
Ricardo,02/02/2022,PRETO,,,,,"3,5","47,55",,,,76,66,64,35,83,45,29
Ricardo,02/02/2022,ROXO,,,,,3,"48,5",,,,74,67,69,35,87,43,34
Ricardo,12/03/2022,Animal 1,"8,5","2,18","4,33","1,99","2,5","41,2",,,2,64,71,72,44,80,41,28
Ricardo,12/03/2022,Animal 2,"8,3","2,22","4,12","2,83","3,5",45,,,2,70,69,72,37,92,43,35
Ricardo,12/03/2022,Animal 3,"8,2","1,99","4,97","3,01","2,5","40,75",,,1,68,71,73,40,81,43,33
Ricardo,12/03/2022,Animal 4,"6,7","1,97","4,19","2,47","2,5","34,6",,,3,66,62,64,34,73,38,30
Ricardo,12/03/2022,Animal 5,"9,75","2,36","4,65","3,3","3,5","37,6",,,3,62,73,73,39,81,42,34
Ricardo,12/03/2022,Animal 6,"8,64","2,06","4,78","1,17",2,"40,4",,,4,68,71,68,31,81,44,37
Ricardo,12/03/2022,Animal 7,"8,06","1,84","4,49","3,6","2,5","34,9",,,3,58,69,66,35,74,31,31
Ricardo,12/03/2022,Animal 8,"9,5","2,06","5,08","2,4","2,5","40,2",,,2,65,78,77,39,82,35,38
Ricardo,12/03/2022,Animal 9,"8,39","1,84","4,82",4,"2,5","39,1",,,3,79,71,70,41,84,45,29
Ricardo,12/03/2022,Animal 10,"10,99","2,1","5,38","2,43","2,5",36,,,3,67,69,70,35,82,37,35
Ricardo,12/03/2022,Animal 11,"9,4","2,18","4,09","3,3",3,"43,1",,,4,65,73,70,34,85,36,36
Ricardo,12/03/2022,Animal 12,"11,6","2,57","4,75","1,85","2,5","36,6",,,2,60,79,77,41,80,43,36
Ricardo,12/03/2022,Animal 13,"10,9","2,42","5,52",3,2,"29,8",,,3,65,72,68,39,75,37,29
Ricardo,19/03/2022,Animal 14,"8,01","2,08","4,54","1,93","2,5","36,6",,,2,61,63,63,33,81,37,30
Ricardo,19/03/2022,Animal 15,"7,5","2,2","3,77","2,23","2,5","39,1",,,3,69,71,73,44,80,29,29
Ricardo,19/03/2022,Animal 16,"9,97","2,32","4,85","2,04","2,5","45,3",,,3,75,72,74,41,82,33,33
Ricardo,19/03/2022,Animal 17,"7,74","2,11","4,75","1,75",2,"37,9",,,3,62,67,62,35,83,31,27
Ricardo,19/03/2022,Animal 18,"8,88","2,16","4,06","1,48",2,"39,8",,,2,65,75,72,43,82,33,29
Ricardo,19/03/2022,Animal 19,"8,04","2,07","4,14","1,86",2,"41,4",,,2,65,63,65,29,87,35,36
Ricardo,19/03/2022,Animal 20,"7,75","2,07","4,15","2,43",2,"32,2",,,2,62,64,60,29,82,37,31
Ricardo,19/03/2022,Animal 21,"9,71","2,27","4,82","2,04","3,5","30,7",,,3,58,61,59,34,78,27,25
Ricardo,19/03/2022,Animal 22,"8,61","1,95","4,39","1,86",2,"42,2",,,3,68,70,69,36,82,34,33
Ricardo,19/03/2022,Animal 23,"5,73","1,73","3,56","2,04","2,5","32,75",,,3,62,63,66,36,77,34,30
Ricardo,19/03/2022,Animal 24,"11,31","2,66","5,04","3,15",2,"38,3",,,2,67,67,66,33,85,39,33
Ricardo,19/03/2022,Animal 25,"8,79","2,29","4,74","2,65","3,5","42,2",,,2,70,69,65,32,84,34,33
Ricardo,19/03/2022,Animal 26,"10,37","2,62","4,05","2,23",2,"39,2",,,2,62,64,58,30,86,42,28
Ricardo,19/03/2022,Animal 27,9,"2,19","4,06","1,67","1,5",29,,,3,66,66,63,39,81,35,24
Ricardo,19/03/2022,Animal 28,"10,07","2,42","5,18","1,88",4,"38,6",,,2,64,63,63,32,81,40,31
Ricardo,19/03/2022,Animal 29,"6,78","1,77","4,21","1,66","1,5",32,,,4,59,63,61,32,77,32,29
Ricardo,19/03/2022,Animal 30,"7,08","2,19","4,08","1,49",2,"40,4",,,2,67,69,67,35,84,37,32
